BMP280,,,,,,,
"Year,Month,Day,Hour,Minute,Second",,,,,,,
Start,"2018,2,15,14,28,34",,,,,,
End,"2018,2,15,14,29,5,",,"(Note: Total 10,000 samples, first 681 records removed, due to presence of NANs)",,,,
Samples,9319,,Average,100801.6917,,StDev,5.84782364
No doubles,5506,,Average,100801.124,,StDev,5.85046483
,,,,,,StDev Mean,0.07884465722
,,,,,,,
,,,,,,,
T (°C),P (Pa),,T (°C),P (Pa),,,
22.59,100805.2,,22.6,100809.38,100809.38,,
22.59,100805.95,,22.53,100788.98,100788.98,,
22.59,100805.95,,22.57,100802.22,100802.22,,
22.53,100798.91,,22.59,100800.61,100800.61,,
22.55,100794.63,,22.53,100788.98,100788.98,,
22.55,100794.63,,22.53,100791.66,100791.66,,
22.6,100804.8,,22.6,100799.45,100799.45,,
22.6,100804.8,,22.53,100796.23,100796.23,,
22.53,100797,,22.6,100807.47,100807.47,,
22.53,100797,,22.53,100791.66,100791.66,,
22.54,100800.42,,22.53,100788.98,100788.98,,
22.59,100799.85,,22.58,100795.7,100795.7,,
22.59,100799.85,,22.58,100796.45,100796.45,,
22.53,100797,,22.54,100797.76,100797.76,,
22.53,100797,,22.58,100795.7,100795.7,,
22.53,100796.23,,22.6,100810.14,100810.14,,
22.59,100799.85,,22.53,100791.66,100791.66,,
22.59,100799.85,,22.57,100802.22,100802.22,,
22.61,100810.88,,22.6,100799.45,100799.45,,
22.61,100810.88,,22.55,100793.88,100793.88,,
22.58,100796.45,,22.54,100790.48,100790.48,,
22.58,100796.45,,22.6,100798.7,100798.7,,
22.53,100797,,22.59,100797.94,100797.94,,
22.54,100801.16,,22.53,100790.9,100790.9,,
22.54,100801.16,,22.57,100802.98,100802.98,,
22.6,100809.38,,22.61,100800.95,100800.95,,
22.6,100809.38,,22.6,100799.45,100799.45,,
22.53,100797,,22.54,100790.48,100790.48,,
22.53,100797,,22.56,100792.72,100792.72,,
22.53,100797,,22.6,100807.47,100807.47,,
22.59,100797.94,,22.54,100792.41,100792.41,,
22.59,100797.94,,22.54,100797.76,100797.76,,
22.59,100797.19,,22.59,100800.61,100800.61,,
22.59,100797.19,,22.54,100797.76,100797.76,,
22.52,100792.84,,22.53,100791.66,100791.66,,
22.57,100808.32,,22.57,100797.64,100797.64,,
22.57,100808.32,,22.6,100798.7,100798.7,,
22.59,100797.94,,22.53,100798.91,100798.91,,
22.59,100797.94,,22.55,100805.31,100805.31,,
22.53,100788.23,,22.6,100801.37,100801.37,,
22.53,100788.23,,22.54,100800.42,100800.42,,
22.55,100791.2,,22.53,100786.31,100786.31,,
22.6,100807.47,,22.6,100799.45,100799.45,,
22.6,100807.47,,22.6,100809.38,100809.38,,
22.54,100793.14,,22.61,100810.88,100810.88,,
22.54,100793.14,,22.54,100797.76,100797.76,,
22.53,100794.33,,22.55,100799.97,100799.97,,
22.58,100801.8,,22.6,100810.14,100810.14,,
22.59,100797.19,,22.54,100800.42,100800.42,,
22.59,100797.19,,22.53,100797,100797,,
22.61,100811.63,,22.59,100807.86,100807.86,,
22.61,100811.63,,22.59,100800.61,100800.61,,
22.53,100796.23,,22.53,100796.23,100796.23,,
22.55,100802.64,,22.57,100802.98,100802.98,,
22.55,100802.64,,22.6,100806.71,100806.71,,
22.59,100805.2,,22.53,100793.57,100793.57,,
22.59,100805.2,,22.55,100799.21,100799.21,,
22.54,100800.42,,22.6,100812.05,100812.05,,
22.54,100800.42,,22.54,100798.48,100798.48,,
22.52,100798.18,,22.53,100796.23,100796.23,,
22.58,100806.38,,22.59,100805.2,100805.2,,
22.58,100806.38,,22.59,100800.61,100800.61,,
22.59,100797.19,,22.6,100810.14,100810.14,,
22.59,100797.19,,22.54,100801.16,100801.16,,
22.53,100790.9,,22.55,100793.88,100793.88,,
22.57,100807.56,,22.59,100808.63,100808.63,,
